date,avg_SDS_P1,avg_SDS_P2,samples
2022-01-01,84.47,46.09,573
2022-01-02,37.68,20.66,578
2022-01-03,53.51,26.31,569
2022-01-04,91.63,40.76,575
2022-01-05,35.49,20.21,578
2022-01-06,18.29,10.43,573
2022-01-07,14.69,8.39,582
2022-01-08,45.79,26.11,576
2022-01-09,74.16,40.26,581
2022-01-10,38.39,21.04,578
2022-01-11,12.57,6.77,572
2022-01-12,29.31,16.14,542
2022-01-13,33.25,17.75,566
2022-01-14,28.77,15.11,563
2022-01-15,23.32,13.27,572
2022-01-16,45.13,25.5,559
2022-01-17,28.19,15.3,568
2022-01-18,58.43,30.09,540
2022-01-19,79.88,38.2,538
2022-01-20,144.78,60.8,552
2022-01-21,151.6,52.98,517
2022-01-22,114.49,43.21,510
2022-01-23,96.88,41.83,473
2022-01-24,128.26,51.58,520
2022-01-25,113.32,47.09,513
2022-01-26,175.72,50.99,390
2022-01-27,126.58,41.3,554
2022-01-28,35.59,16.89,546
2022-01-29,33.19,15.33,575
2022-01-30,40.85,20.18,555
2022-01-31,52.74,24.18,536
2022-02-01,3.54,1.48,493
2022-02-02,3.51,1.32,300
2022-02-03,19.46,10.54,295
2022-02-04,54.53,28.08,383
2022-02-05,125.12,58.2,474
2022-02-06,125.48,59.11,506
2022-02-07,18.95,9.05,509
2022-02-08,11.37,5.87,374
2022-02-09,14.6,6.74,245
2022-02-10,31.54,16.59,202
2022-02-11,36.4,19.35,247
2022-02-12,12.61,6.42,583
2022-02-13,17.56,9.75,580
2022-02-14,36.98,20.13,577
2022-02-15,64.17,32.33,580
2022-02-16,48.74,23.94,581
2022-02-17,28.17,15.64,572
2022-02-18,93.53,46.28,580
2022-02-19,138.68,60.79,578
2022-02-20,80.96,35.68,586
2022-02-21,17.74,8.97,588
2022-02-22,2.86,1.26,583
2022-02-23,14.93,8.63,584
2022-02-24,29.92,16.42,583
2022-02-25,15.19,7.42,576
2022-02-26,5.61,3.05,585
2022-02-27,7.32,4.0,584
2022-02-28,14.77,8.18,565
2022-03-01,17.72,9.31,585
2022-03-02,29.12,15.6,576
2022-03-03,36.98,20.38,557
2022-03-04,55.07,29.24,583
2022-03-05,30.17,15.3,584
2022-03-06,26.47,13.59,585
2022-03-07,37.56,18.68,587
2022-03-08,29.14,14.73,585
2022-03-09,52.12,24.77,586
2022-03-10,58.41,27.31,581
2022-03-11,34.61,17.13,585
2022-03-12,24.75,13.29,580
2022-03-13,22.98,12.72,583
2022-03-14,32.68,20.25,581
2022-03-15,66.85,38.91,559
2022-03-16,40.1,23.46,567
2022-03-17,83.96,45.82,566
2022-03-18,47.34,25.57,566
2022-03-19,24.71,14.27,576
2022-03-20,24.03,13.98,549
2022-03-21,24.68,14.36,562
2022-03-22,32.31,18.43,560
2022-03-23,31.21,18.31,561
2022-03-24,23.82,13.67,581
2022-03-25,20.61,11.3,581
2022-03-26,39.36,21.59,581
2022-03-27,40.64,22.7,579
2022-03-28,33.6,19.21,581
2022-03-29,56.77,32.07,582
2022-03-30,76.69,44.55,573
2022-03-31,44.18,24.92,579
2022-04-01,16.4,9.76,572
2022-04-02,7.47,3.39,568
2022-04-03,10.11,6.53,585
2022-04-04,14.62,9.11,581
2022-04-05,25.48,15.76,583
2022-04-06,44.93,27.18,578
2022-04-07,14.39,8.4,585
2022-04-08,14.74,6.64,586
2022-04-09,7.56,2.4,586
2022-04-10,5.81,3.43,584
2022-04-11,6.74,3.57,577
2022-04-12,12.68,6.67,585
2022-04-13,26.33,14.1,584
2022-04-14,26.38,12.96,583
2022-04-15,34.42,16.99,571
2022-04-16,13.97,7.29,561
2022-04-17,7.88,3.33,565
2022-04-18,8.25,4.22,554
2022-04-19,10.67,5.39,553
2022-04-20,11.03,6.06,551
2022-04-21,9.09,5.01,548
2022-04-22,25.07,16.08,543
2022-04-23,29.42,19.14,549
2022-04-24,4.22,2.55,569
2022-04-25,6.26,3.7,404
2022-04-26,9.08,6.22,472
2022-04-27,12.13,7.64,564
2022-04-28,9.95,5.93,559
2022-04-29,11.86,7.34,559
2022-04-30,9.86,5.9,547
2022-05-01,5.62,3.73,547
2022-05-02,7.36,5.16,532
2022-05-03,8.88,5.85,548
2022-05-04,11.53,7.86,556
2022-05-05,22.28,15.25,547
2022-05-06,13.91,9.99,556
2022-05-07,22.68,15.47,559
2022-05-08,9.1,6.07,559
2022-05-09,8.32,5.27,558
2022-05-10,9.54,5.75,561
2022-05-11,9.65,5.61,558
2022-05-12,9.89,5.41,560
2022-05-13,10.11,4.87,550
2022-05-14,13.17,8.07,560
2022-05-15,12.77,8.33,553
2022-05-16,8.64,4.11,542
2022-05-17,6.43,2.96,557
2022-05-18,8.52,3.82,555
2022-05-19,7.31,2.6,555
2022-05-20,9.12,4.5,536
2022-05-21,9.78,5.28,552
2022-05-22,11.05,6.53,550
2022-05-23,9.38,4.78,532
2022-05-24,14.37,8.15,548
2022-05-25,4.77,2.37,551
2022-05-26,14.95,8.8,545
2022-05-27,16.99,10.1,543
2022-05-28,12.42,6.17,555
2022-05-29,4.93,2.9,536
2022-05-30,9.78,6.83,550
2022-05-31,20.23,14.73,546
2022-06-01,16.67,12.46,548
2022-06-02,13.71,10.54,507
2022-06-03,18.6,13.05,514
2022-06-04,8.95,4.0,537
2022-06-05,13.89,6.83,540
2022-06-06,7.81,2.95,529
2022-06-07,4.81,2.38,561
2022-06-08,4.51,2.37,560
2022-06-09,4.44,2.01,557
2022-06-10,2.09,0.56,546
2022-06-11,3.72,1.32,555
2022-06-12,4.27,1.95,549
2022-06-13,6.47,3.22,548
2022-06-14,6.56,3.51,527
2022-06-15,9.2,5.42,546
2022-06-16,11.36,7.31,541
2022-06-17,12.04,7.84,543
2022-06-18,8.54,4.78,548
2022-06-19,7.89,3.9,553
2022-06-20,7.96,4.02,535
2022-06-21,8.57,3.86,523
