date,avg_SDS_P1,avg_SDS_P2,samples
2024-01-01,65.94,32.37,589
2024-01-02,31.6,19.34,571
2024-01-03,27.88,17.98,588
2024-01-04,18.55,11.11,589
2024-01-05,26.54,15.08,589
2024-01-06,34.19,19.83,591
2024-01-07,47.89,25.58,591
2024-01-08,15.62,9.4,591
2024-01-09,14.93,7.69,591
2024-01-10,18.54,9.67,590
2024-01-11,41.49,21.93,590
2024-01-12,30.29,16.55,592
2024-01-13,29.91,17.17,590
2024-01-14,49.28,26.93,591
2024-01-15,63.57,33.05,591
2024-01-16,75.27,36.48,590
2024-01-17,62.43,31.5,590
2024-01-18,57.49,26.54,590
2024-01-19,77.81,26.06,589
2024-01-20,8.56,4.45,592
2024-01-21,19.81,11.46,590
2024-01-22,17.04,9.5,590
2024-01-23,33.83,19.81,591
2024-01-24,43.05,24.51,591
2024-01-25,94.98,51.36,592
2024-01-26,132.49,68.03,592
2024-01-27,107.46,55.35,591
2024-01-28,96.86,45.67,591
2024-01-29,78.93,38.84,589
2024-01-30,57.5,30.26,589
2024-01-31,67.95,36.03,591
2024-02-01,56.73,28.94,565
2024-02-02,73.59,37.89,581
2024-02-03,63.98,35.19,591
2024-02-04,38.41,23.47,589
2024-02-05,49.75,25.65,591
2024-02-06,114.65,53.34,589
2024-02-07,44.06,23.87,562
2024-02-08,35.91,19.32,101
2024-02-19,148.7,83.03,425
2024-02-20,133.35,69.23,590
2024-02-21,52.7,27.45,589
2024-02-22,57.62,28.59,591
2024-02-23,4.58,2.81,591
2024-02-24,9.71,5.26,591
2024-02-25,9.41,5.75,591
2024-02-26,5.29,3.27,590
2024-02-27,4.55,2.79,591
2024-02-28,8.31,5.23,591
2024-02-29,14.98,7.37,590
2024-03-01,7.75,3.93,575
2024-03-02,11.96,7.39,588
2024-03-03,6.64,3.19,588
2024-03-04,8.47,5.18,589
2024-03-05,9.85,5.66,581
2024-03-06,7.2,4.08,589
2024-03-07,17.11,10.39,582
2024-03-08,24.5,13.96,581
2024-03-09,14.64,9.32,584
2024-03-10,10.37,6.65,576
2024-03-11,7.34,4.34,578
2024-03-12,6.24,3.52,580
2024-03-13,23.12,13.15,578
2024-03-14,29.99,16.84,585
2024-03-15,11.16,5.2,583
2024-03-16,16.37,10.01,588
2024-03-17,25.87,16.59,581
2024-03-18,27.33,15.77,587
2024-03-19,76.08,38.95,586
2024-03-20,55.43,30.35,579
2024-03-21,61.41,32.66,588
2024-03-22,72.13,38.17,589
2024-03-23,39.23,21.18,589
2024-03-24,1.73,0.85,583
2024-03-25,4.57,2.4,586
2024-03-26,11.58,6.88,586
2024-03-27,18.0,11.1,592
2024-03-28,8.05,4.21,584
2024-03-29,15.14,9.03,583
2024-03-30,46.16,15.26,584
2024-03-31,22.68,4.05,590
2024-04-01,14.16,2.88,580
2024-04-02,2.94,1.42,586
2024-04-03,5.67,2.66,588
2024-04-04,7.06,2.96,588
2024-04-05,9.03,3.52,587
2024-04-06,11.82,6.7,582
2024-04-07,10.94,7.0,589
2024-04-08,19.49,13.62,588
2024-04-09,35.43,23.98,586
2024-04-10,3.6,2.13,552
2024-04-11,8.72,5.32,539
2024-04-12,10.53,6.15,511
2024-04-13,13.02,8.31,587
2024-04-14,12.39,8.03,587
2024-04-15,9.03,4.32,589
2024-04-16,6.94,3.03,588
2024-04-17,5.26,2.47,587
2024-04-18,3.62,1.76,587
2024-04-19,5.48,2.8,585
2024-04-20,3.35,1.57,584
2024-04-21,2.03,1.18,586
2024-04-22,8.19,4.92,582
2024-04-23,15.92,9.45,583
2024-04-24,15.11,9.76,589
2024-04-25,8.65,5.68,582
2024-04-26,9.96,6.81,586
2024-04-27,10.17,6.93,588
2024-04-28,8.61,5.3,586
2024-04-29,8.32,3.12,590
2024-04-30,9.9,4.3,585
2024-05-01,16.04,11.25,581
2024-05-02,5.78,3.51,588
2024-05-03,4.56,2.99,589
2024-05-04,2.51,1.71,589
2024-05-05,4.58,2.44,587
2024-05-06,4.53,1.99,588
2024-05-07,9.41,6.59,585
2024-05-08,10.31,7.42,586
