date,avg_SDS_P1,avg_SDS_P2,samples
2025-01-01,104.3,50.91,584
2025-01-02,186.84,86.92,588
2025-01-03,71.43,36.81,586
2025-01-04,54.11,24.83,589
2025-01-05,62.68,31.31,588
2025-01-06,72.74,35.24,590
2025-01-07,30.41,18.65,589
2025-01-08,59.95,30.01,589
2025-01-09,16.27,10.84,589
2025-01-10,18.28,9.65,586
2025-01-11,14.14,7.71,589
2025-01-12,12.21,6.93,588
2025-01-13,15.38,8.3,567
2025-01-14,26.38,14.21,589
2025-01-15,37.13,19.28,589
2025-01-16,16.52,8.61,588
2025-01-17,28.24,15.4,574
2025-01-18,29.08,17.19,586
2025-01-19,18.33,11.41,587
2025-01-20,19.5,11.81,586
2025-01-21,36.66,20.54,581
2025-01-22,45.99,22.76,581
2025-01-23,26.11,16.0,587
2025-01-24,26.22,15.71,585
2025-01-25,53.31,25.15,586
2025-01-26,51.98,17.72,514
2025-01-27,19.17,12.09,570
2025-01-28,31.93,14.43,591
2025-01-29,9.3,5.02,591
2025-01-30,18.27,10.01,587
2025-01-31,22.69,13.15,564
2025-02-01,20.06,12.81,544
2025-02-02,15.04,9.76,574
2025-02-03,25.08,15.54,588
2025-02-04,37.97,20.55,579
2025-02-05,48.89,26.95,589
2025-02-06,25.8,13.88,587
2025-02-07,26.29,14.5,588
2025-02-08,45.44,23.78,576
2025-02-09,22.08,13.84,586
2025-02-10,32.28,19.95,587
2025-02-11,54.02,26.66,570
2025-02-12,54.94,24.4,579
2025-02-13,88.07,36.27,586
2025-02-14,24.78,12.74,582
2025-02-15,20.61,11.89,583
2025-02-16,39.53,20.22,399
2025-02-17,30.07,14.85,584
2025-02-18,40.96,19.67,588
2025-02-19,24.87,12.88,585
2025-02-20,54.87,29.01,545
2025-02-21,90.63,44.7,580
2025-02-22,145.23,70.91,582
2025-02-23,154.3,71.91,589
2025-02-24,160.0,71.17,564
2025-02-25,192.24,81.49,568
2025-02-26,82.25,37.15,572
2025-02-27,38.82,19.94,574
2025-02-28,24.16,13.03,584
2025-03-01,12.39,7.85,569
2025-03-02,20.24,12.66,579
2025-03-03,26.27,16.05,577
2025-03-04,37.69,20.68,578
2025-03-05,26.2,13.45,576
2025-03-06,26.2,13.54,578
2025-03-07,32.38,16.77,571
2025-03-08,34.48,18.78,566
2025-03-09,40.16,22.06,575
2025-03-10,34.68,19.41,578
2025-03-11,34.88,19.52,578
2025-03-12,13.76,8.4,542
2025-03-13,16.95,10.47,537
2025-03-14,8.13,5.4,522
2025-03-15,13.11,7.95,473
2025-03-16,5.69,2.52,461
2025-03-17,9.57,4.98,466
2025-03-18,9.76,5.24,479
2025-03-19,20.41,11.71,588
2025-03-20,38.35,20.05,561
2025-03-21,46.02,23.9,331
2025-03-22,49.38,29.26,450
2025-03-23,11.85,7.34,589
2025-03-24,7.14,4.51,582
2025-03-25,13.39,8.82,584
2025-03-26,18.17,11.66,580
2025-03-27,11.01,6.59,577
2025-03-28,10.59,5.95,580
2025-03-29,11.96,7.38,581
2025-03-30,6.19,3.9,537
2025-03-31,2.52,1.27,572
2025-04-01,4.13,1.98,489
2025-04-02,8.97,5.44,501
2025-04-03,19.92,11.22,397
2025-04-04,27.6,16.09,578
2025-04-05,25.34,14.31,575
2025-04-06,12.87,6.64,536
2025-04-07,8.16,2.96,537
2025-04-08,12.11,6.5,582
2025-04-09,23.52,13.72,579
2025-04-10,25.34,14.64,576
2025-04-11,21.55,11.3,583
2025-04-12,18.82,12.26,587
2025-04-13,14.68,9.83,581
2025-04-14,34.28,20.49,587
2025-04-15,12.13,8.03,577
2025-04-16,15.97,7.19,584
2025-04-17,6.8,2.24,585
2025-04-18,4.74,2.71,568
2025-04-19,6.81,4.24,588
2025-04-20,8.27,4.5,586
2025-04-21,5.64,2.38,587
2025-04-22,4.44,1.83,590
2025-04-23,10.92,4.71,585
2025-04-24,1.47,0.57,586
2025-04-25,3.41,1.89,583
2025-04-26,3.19,1.93,585
2025-04-27,4.87,3.21,580
